CODE_INSEE_COMMMUNE;NOM_JEU_DE_DONNEES;DATE_HAURE;NOM_CAPTEUR;LOCALISATION_CAPTEUR;NOMBRE_PASSAGES;EVENEMENT
76540;ROUEN_FLUX_PIETONS;2022-05-06T02:00:00+02:00;RUE_EUGENE_BOUDIN;49.442039093669095, 1.0935188203267787;9467.0;
76540;ROUEN_FLUX_PIETONS;2022-05-16T02:00:00+02:00;RUE_EUGENE_BOUDIN;49.442039093669095, 1.0935188203267787;6038.0;
76540;ROUEN_FLUX_PIETONS;2022-05-19T02:00:00+02:00;RUE_EUGENE_BOUDIN;49.442039093669095, 1.0935188203267787;6898.0;
76540;ROUEN_FLUX_PIETONS;2022-05-20T02:00:00+02:00;RUE_EUGENE_BOUDIN;49.442039093669095, 1.0935188203267787;6891.0;
76540;ROUEN_FLUX_PIETONS;2022-05-24T02:00:00+02:00;RUE_EUGENE_BOUDIN;49.442039093669095, 1.0935188203267787;7025.0;
76540;ROUEN_FLUX_PIETONS;2022-05-28T02:00:00+02:00;RUE_EUGENE_BOUDIN;49.442039093669095, 1.0935188203267787;9516.0;Fêtes Jeanne d'Arc
76540;ROUEN_FLUX_PIETONS;2022-05-30T02:00:00+02:00;RUE_EUGENE_BOUDIN;49.442039093669095, 1.0935188203267787;6832.0;
76540;ROUEN_FLUX_PIETONS;2022-05-02T02:00:00+02:00;RUE_DU_GROS_HORLOGE;49.4415715404523, 1.0911797599337407;3727.0;
76540;ROUEN_FLUX_PIETONS;2022-05-06T02:00:00+02:00;RUE_DU_GROS_HORLOGE;49.4415715404523, 1.0911797599337407;5675.0;
76540;ROUEN_FLUX_PIETONS;2022-05-08T02:00:00+02:00;RUE_DU_GROS_HORLOGE;49.4415715404523, 1.0911797599337407;10191.0;
76540;ROUEN_FLUX_PIETONS;2022-05-11T02:00:00+02:00;RUE_DU_GROS_HORLOGE;49.4415715404523, 1.0911797599337407;23501.0;Braderie printemps
76540;ROUEN_FLUX_PIETONS;2022-05-12T02:00:00+02:00;RUE_DU_GROS_HORLOGE;49.4415715404523, 1.0911797599337407;20354.0;Braderie printemps
76540;ROUEN_FLUX_PIETONS;2022-05-13T02:00:00+02:00;RUE_DU_GROS_HORLOGE;49.4415715404523, 1.0911797599337407;25668.0;Braderie printemps
76540;ROUEN_FLUX_PIETONS;2022-05-18T02:00:00+02:00;RUE_DU_GROS_HORLOGE;49.4415715404523, 1.0911797599337407;4694.0;
76540;ROUEN_FLUX_PIETONS;2022-05-23T02:00:00+02:00;RUE_DU_GROS_HORLOGE;49.4415715404523, 1.0911797599337407;2528.0;
76540;ROUEN_FLUX_PIETONS;2022-05-24T02:00:00+02:00;RUE_DU_GROS_HORLOGE;49.4415715404523, 1.0911797599337407;6163.0;
76540;ROUEN_FLUX_PIETONS;2022-05-25T02:00:00+02:00;RUE_DU_GROS_HORLOGE;49.4415715404523, 1.0911797599337407;19165.0;Fêtes Jeanne d'Arc
76540;ROUEN_FLUX_PIETONS;2022-05-27T02:00:00+02:00;RUE_DU_GROS_HORLOGE;49.4415715404523, 1.0911797599337407;27329.0;Fêtes Jeanne d'Arc
76540;ROUEN_FLUX_PIETONS;2022-05-28T02:00:00+02:00;RUE_DU_GROS_HORLOGE;49.4415715404523, 1.0911797599337407;31116.0;Fêtes Jeanne d'Arc
76540;ROUEN_FLUX_PIETONS;2022-05-03T02:00:00+02:00;RUE_DE_L_HOPITAL;49.44288631911166, 1.0960197129901141;7998.0;
76540;ROUEN_FLUX_PIETONS;2022-05-05T02:00:00+02:00;RUE_DE_L_HOPITAL;49.44288631911166, 1.0960197129901141;8164.0;
76540;ROUEN_FLUX_PIETONS;2022-05-06T02:00:00+02:00;RUE_DE_L_HOPITAL;49.44288631911166, 1.0960197129901141;10122.0;
76540;ROUEN_FLUX_PIETONS;2022-05-07T02:00:00+02:00;RUE_DE_L_HOPITAL;49.44288631911166, 1.0960197129901141;9638.0;
76540;ROUEN_FLUX_PIETONS;2022-05-09T02:00:00+02:00;RUE_DE_L_HOPITAL;49.44288631911166, 1.0960197129901141;8128.0;
76540;ROUEN_FLUX_PIETONS;2022-05-12T02:00:00+02:00;RUE_DE_L_HOPITAL;49.44288631911166, 1.0960197129901141;9077.0;Braderie printemps
76540;ROUEN_FLUX_PIETONS;2022-05-16T02:00:00+02:00;RUE_DE_L_HOPITAL;49.44288631911166, 1.0960197129901141;6801.0;
76540;ROUEN_FLUX_PIETONS;2022-05-17T02:00:00+02:00;RUE_DE_L_HOPITAL;49.44288631911166, 1.0960197129901141;8088.0;
76540;ROUEN_FLUX_PIETONS;2022-05-19T02:00:00+02:00;RUE_DE_L_HOPITAL;49.44288631911166, 1.0960197129901141;6890.0;
76540;ROUEN_FLUX_PIETONS;2022-05-20T02:00:00+02:00;RUE_DE_L_HOPITAL;49.44288631911166, 1.0960197129901141;7090.0;
76540;ROUEN_FLUX_PIETONS;2022-05-23T02:00:00+02:00;RUE_DE_L_HOPITAL;49.44288631911166, 1.0960197129901141;4857.0;
76540;ROUEN_FLUX_PIETONS;2022-05-26T02:00:00+02:00;RUE_DE_L_HOPITAL;49.44288631911166, 1.0960197129901141;5246.0;Fêtes Jeanne d'Arc
76540;ROUEN_FLUX_PIETONS;2022-05-29T02:00:00+02:00;RUE_DE_L_HOPITAL;49.44288631911166, 1.0960197129901141;3074.0;Fêtes Jeanne d'Arc
